,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN5530_c0_g1_i6,EI2BA_DICDI,PF01008.18,Initiation factor 2 subunit family,|0006413|0006446|0050790,|translational initiation|regulation of translational initiation|regulation of catalytic activity,|0003743|0005085|0016853|0003677|0046872,|translation initiation factor activity|guanyl-nucleotide exchange factor activity|isomerase activity|DNA binding|metal ion binding,|0005851,|eukaryotic translation initiation factor 2B complex,111.3325,160.9315,174.92,0
TRINITY_DN5574_c0_g1_i19,IP5P3_ARATH,PF03372.24,Endonuclease/Exonuclease/phosphatase family   ,|0046856,|phosphatidylinositol dephosphorylation,|0034485|0004439|0052659|0052658|0004445,|phosphatidylinositol-345-trisphosphate 5-phosphatase activity|phosphatidylinositol-45-bisphosphate 5-phosphatase activity|inositol-1345-tetrakisphosphate 5-phosphatase activity|inositol-145-trisphosphate 5-phosphatase activity|inositol-polyphosphate 5-phosphatase activity,|0016021,|integral component of membrane,254.596,149.589,265.973,0
TRINITY_DN5577_c0_g1_i17,AMPD_ARATH,PF00962.23,Adenosine/AMP deaminase   ,|0032264|0046033|0009793|0009737,|IMP salvage|AMP metabolic process|embryo development ending in seed dormancy|response to abscisic acid,|0003876|0043424|0046872,|AMP deaminase activity|protein histidine kinase binding|metal ion binding,|0005829|0016021|0031306|0005634,|cytosol|integral component of membrane|intrinsic component of mitochondrial outer membrane|nucleus,153.97,125.192,195.483,0
TRINITY_DN55_c0_g1_i16,CUL1_ORYSJ,PF00888.23,Cullin family   ,|0006511|0016567,|ubiquitin-dependent protein catabolic process|protein ubiquitination,|0031625|0004842,|ubiquitin protein ligase binding|ubiquitin-protein transferase activity,|0031461,|cullin-RING ubiquitin ligase complex,221.002,144.393,130.668,0
TRINITY_DN5768_c0_g1_i1,RNL_ARATH,PF08302.12,Fungal tRNA ligase phosphodiesterase domain,|0006388|0010928|0030968|0042245|0009734|0090305|0006412|0016310,|tRNA splicing via endonucleolytic cleavage and ligation|regulation of auxin mediated signaling pathway|endoplasmic reticulum unfolded protein response|RNA repair|auxin-activated signaling pathway|nucleic acid phosphodiester bond hydrolysis|translation|phosphorylation,|0003972|0005524|0004519|0003729|0016301|0046872,|RNA ligase (ATP) activity|ATP binding|endonuclease activity|mRNA binding|kinase activity|metal ion binding,|0005844|0005634|0005737,|polysome|nucleus|cytoplasm,250.6465,101.076,113.663,0
TRINITY_DN5792_c0_g1_i33,UVH3_ARATH,PF00752.18,XPG N-terminal domain  ,|0006289|0090305|0010213|0009408|0006289|0090305,|nucleotide-excision repair|nucleic acid phosphodiester bond hydrolysis|non-photoreactive DNA repair|response to heat|nucleotide-excision repair|nucleic acid phosphodiester bond hydrolysis,|0003697|0004519|0046872|0004536|0004527|0005515|0003697|0004518|0046872|0140097,|single-stranded DNA binding|endonuclease activity|metal ion binding|deoxyribonuclease activity|exonuclease activity|protein binding|single-stranded DNA binding|nuclease activity|metal ion binding|catalytic activity acting on DNA,|0005634|0005634,|nucleus|nucleus,304.8075,163.13,160.2605,0
TRINITY_DN584_c0_g1_i2,ARFG_ORYSJ,PF06507.14,Auxin response factor  ,|0009734|0006355|0010150|0043486|1903507|2000113,|auxin-activated signaling pathway|regulation of transcription DNA-templated|leaf senescence|histone exchange|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003677|0042802,|DNA binding|identical protein binding,|0005634|0016021,|nucleus|integral component of membrane,107.2295,129.157,136.831,0
TRINITY_DN5873_c0_g1_i11,FEI1_ARATH,PF00069.26,Protein kinase domain  ,|0030244|0006468|0018212,|cellulose biosynthetic process|protein phosphorylation|peptidyl-tyrosine modification,|0004672|0005524|0004888|0005515,|protein kinase activity|ATP binding|transmembrane signaling receptor activity|protein binding,|0016021|0005886,|integral component of membrane|plasma membrane,209.629,223.6065,338.447,0
TRINITY_DN5897_c0_g1_i4,SMC3_ARATH,PF02463.20,RecF/RecN/SMC N terminal domain ,|0051321|0051276|0051301|0098813,|meiotic cell cycle|chromosome organization|cell division|nuclear chromosome segregation,|0005524|0003682,|ATP binding|chromatin binding,|0005694|0005634|0009506|0005819|0070013|0043233|0005737,|chromosome|nucleus|plasmodesma|spindle|intracellular organelle lumen|organelle lumen|cytoplasm,111.5075,94.8105,138.7065,0
TRINITY_DN5953_c0_g1_i3,LPAI_ARATH,PF01734.23,Patatin-like phospholipase   ,|0016042|0009695|0050832|0006631|0016042|0009695|0050832|0006631|0016042|0009695|0050832|0006631,|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process,|0045735|0004620|0047372|0045735|0004620|0047372|0045735|0016787,|nutrient reservoir activity|phospholipase activity|acylglycerol lipase activity|nutrient reservoir activity|phospholipase activity|acylglycerol lipase activity|nutrient reservoir activity|hydrolase activity,|0005773|0009507|0016020|0005773|0009507|0016020|0005773|0009507|0016020,|vacuole|chloroplast|membrane|vacuole|chloroplast|membrane|vacuole|chloroplast|membrane,96.66,100.8865,116.0185,0
TRINITY_DN5983_c0_g1_i3,VAD1_ARATH,PF15272.7,Spindle pole body component BBP1,|0043069,|negative regulation of programmed cell death,.,.,|0016021,|integral component of membrane,800.5325,0,748.6755,657.5025
TRINITY_DN6029_c0_g1_i8,G6PD_SOLTU,PF02781.17,Glucose-6-phosphate dehydrogenase,.,.,.,.,.,.,95.755,0,0,0
TRINITY_DN6034_c0_g1_i12,DLD_ARATH,PF02913.20,FAD linked oxidases,.,.,|0050660|0003824,|flavin adenine dinucleotide binding|catalytic activity,|0016021,|integral component of membrane,67.954,596.687,0,2236.341
TRINITY_DN614_c0_g1_i4,GT121_ARATH,PF07722.14,Peptidase C26   ,|0006541,|glutamine metabolic process,|0016787,|hydrolase activity,.,.,298.4315,363.1915,13.0955,290.4215
TRINITY_DN6158_c1_g2_i2,AT4_ORYSJ,PF02458.16,Transferase family   ,|0009809,|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0016021,|integral component of membrane,158.9765,137.1195,190.6385,0
TRINITY_DN6348_c0_g1_i3,YBEG_SCHPO,PF00400.33,WD domain,.,.,.,.,|0005634,|nucleus,227.3015,149.7475,163.4465,0
TRINITY_DN6535_c0_g1_i22,IDHC_TOBAC,PF00180.21,Isocitrate/isopropylmalate dehydrogenase   ,.,.,.,.,.,.,0,0,0,93.31
TRINITY_DN6535_c0_g1_i5,IDHC_TOBAC,PF00180.21,Isocitrate/isopropylmalate dehydrogenase   ,.,.,.,.,.,.,1,6.5,2,1129.275
TRINITY_DN6633_c0_g1_i1,VCL_CORAV,PF00190.23,Cupin    ,.,.,.,.,.,.,318.816,199.5575,230.367,0
TRINITY_DN665_c0_g1_i10,FPP4_ARATH,PF05911.12,Filament-like plant protein,.,.,.,.,.,.,179.033,0,0,0
TRINITY_DN6849_c0_g1_i8,XTHA_PHAAN,PF00722.22,Glycosyl hydrolases family 16 ,|0010411|0071555|0042546|0018215|0022900,|xyloglucan metabolic process|cell wall organization|cell wall biogenesis|protein phosphopantetheinylation|electron transport chain,|0016762|0004553|0019706|0030246|0051536|0009055,|xyloglucan:xyloglucosyl transferase activity|hydrolase activity hydrolyzing O-glycosyl compounds|protein-cysteine S-palmitoyltransferase activity|carbohydrate binding|iron-sulfur cluster binding|electron transfer activity,|0048046|0005618|0016021,|apoplast|cell wall|integral component of membrane,177.5755,91.048,368.9705,0
TRINITY_DN6857_c0_g1_i8,RAC2_ORYSJ,PF00071.23,Ras family   ,|0007264|0030865|0007163|0032956|0007015|0008360,|small GTPase mediated signal transduction|cortical cytoskeleton organization|establishment or maintenance of cell polarity|regulation of actin cytoskeleton organization|actin filament organization|regulation of cell shape,|0003924|0005525|0019901,|GTPase activity|GTP binding|protein kinase binding,|0005938|0031410|0005856|0042995|0005634|0005886,|cell cortex|cytoplasmic vesicle|cytoskeleton|cell projection|nucleus|plasma membrane,0,268.0285,224.274,83.5
TRINITY_DN6999_c0_g1_i1,NRPE1_ARATH,PF11523.9,Protein of unknown function (DUF3223),.,.,.,.,.,.,3.5,26.063,149,220.5
TRINITY_DN7047_c0_g1_i1,LSH6_ARATH,PF04852.13,Protein of unknown function (DUF640),|0009299|0009416,|mRNA transcription|response to light stimulus,|0000287,|magnesium ion binding,|0005634,|nucleus,117.486,701.602,145.181,17.5195
TRINITY_DN7058_c0_g1_i4,SCP3_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,.,.,696.384,3837.0165,1108.499,136.1345
TRINITY_DN7058_c0_g1_i9,SCP3_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,.,.,96,461.023,2217.505,6814.5765
TRINITY_DN7084_c0_g1_i1,ERLL2_ARATH,PF14547.7,Hydrophobic seed protein  ,|0032774,|RNA biosynthetic process,|0008289|0003899,|lipid binding|DNA-directed 5'-3' RNA polymerase activity,|0016021,|integral component of membrane,0,0,203.0885,0
TRINITY_DN710_c0_g1_i2,TAF15_ARATH,PF00641.19,Zn-finger in Ran binding protein,|0006413,|translational initiation,|0003743|0046872,|translation initiation factor activity|metal ion binding,|0005634,|nucleus,827.106,0,0,0
TRINITY_DN7172_c0_g1_i22,FK151_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408|0000413|0061077|0009620|0034976|0006412|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process,|0003755|0080025|0032266|0003755|0003735|0004553,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0005634|0071944|0016021|0005783|0005840|0005773|0005794|0005829|0016021,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane,635.462,0,0,0
TRINITY_DN7172_c0_g1_i6,FK152_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408|0000413|0061077|0009620|0006412|0034976|0043086|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|translation|response to endoplasmic reticulum stress|negative regulation of catalytic activity|carbohydrate metabolic process,|0003755|0080025|0032266|0003755|0003735|0004857|0004553,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|enzyme inhibitor activity|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0005634|0071944|0016021|0005783|0005840|0005773|0016021|0005794|0005829,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|integral component of membrane|Golgi apparatus|cytosol,93.9025,92.7785,404.189,0
TRINITY_DN7213_c0_g1_i2,ZHD6_ORYSI,PF04770.13,ZF-HD protein dimerisation region ,|0006355,|regulation of transcription DNA-templated,|0003677|0001067|0003700|0042803|0046872,|DNA binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity|protein homodimerization activity|metal ion binding,|0005634,|nucleus,184.669,237.162,154.5815,0.5
TRINITY_DN7254_c1_g2_i4,CCA31_ARATH,PF00134.24,Cyclin,|0007049|0051301|0000079,|cell cycle|cell division|regulation of cyclin-dependent protein serine/threonine kinase activity,|0016538,|cyclin-dependent protein serine/threonine kinase regulator activity,|0000307|0005634|0005737,|cyclin-dependent protein kinase holoenzyme complex|nucleus|cytoplasm,77.3855,78.6235,0,55.1035
TRINITY_DN7260_c0_g1_i3,MANA1_ARATH,PF01074.23,Glycosyl hydrolases family 38 N-terminal,|0006013|0015074,|mannose metabolic process|DNA integration,|0004559|0030246|0046872|0003676,|alpha-mannosidase activity|carbohydrate binding|metal ion binding|nucleic acid binding,|0005774|0048046|0005618|0016021,|vacuolar membrane|apoplast|cell wall|integral component of membrane,104.8585,172.9075,1835.9705,5255.514
TRINITY_DN7307_c0_g1_i1,FLA9_ARATH,PF02469.23,Fasciclin domain   ,|0009834|0090378|0010262|0009833|2000008|0009735|0009739|0009651|0009737|0009733,|plant-type secondary cell wall biogenesis|seed trichome elongation|somatic embryogenesis|plant-type primary cell wall biogenesis|regulation of protein localization to cell surface|response to cytokinin|response to gibberellin|response to salt stress|response to abscisic acid|response to auxin,.,.,|0005886|0031225|0016021,|plasma membrane|anchored component of membrane|integral component of membrane,336.5285,379.4625,71.5,4
TRINITY_DN7316_c0_g1_i1,SAMC1_ARATH,PF00153.28,Mitochondrial carrier protein  ,.,.,.,.,|0016021,|integral component of membrane,169.538,153.504,0,138.677
TRINITY_DN7361_c0_g1_i8,UVR8_ARATH,PF00415.19,Regulator of chromosome condensation (RCC1),.,.,|0008270|0016746,|zinc ion binding|transferase activity transferring acyl groups,|0016021,|integral component of membrane,248.65,190.654,189.1565,0
TRINITY_DN7517_c0_g1_i3,CKX4_ORYSJ,PF01565.24,FAD binding domain  ,.,.,.,.,.,.,167.212,90.68,95.5415,0
TRINITY_DN751_c0_g1_i12,FAO1_LOTJA,PF00732.20,GMC oxidoreductase   ,.,.,.,.,.,.,0,90.972,0,0
TRINITY_DN7536_c0_g1_i15,FGT1_ARATH,PF13872.7,P-loop containing NTP hydrolase pore-1,|0006355|0006355,|regulation of transcription DNA-templated|regulation of transcription DNA-templated,|0031490|0046872|0042393|0046872|0031490|0042393,|chromatin DNA binding|metal ion binding|histone binding|metal ion binding|chromatin DNA binding|histone binding,|0005634|0005634|0016021,|nucleus|nucleus|integral component of membrane,102.8145,0,115.0115,51.1855
TRINITY_DN7565_c0_g1_i2,NAA15_ARATH,PF12569.9,NMDA receptor-regulated protein 1 ,|0017196,|N-terminal peptidyl-methionine acetylation,|0016740,|transferase activity,|0005737|0016021,|cytoplasm|integral component of membrane,104.727,0,145.303,83.2945
TRINITY_DN7580_c0_g1_i8,ARFV_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0048829|0007389|0051301|0048442|0031540|0048441|0048366|0009738|0010154|0009743|0048589,|auxin-activated signaling pathway|regulation of transcription DNA-templated|root cap development|pattern specification process|cell division|sepal development|regulation of anthocyanin biosynthetic process|petal development|leaf development|abscisic acid-activated signaling pathway|fruit development|response to carbohydrate|developmental growth,|0003677|0035198|0005515|0003700,|DNA binding|miRNA binding|protein binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane,490.5385,118.5595,17.8645,0
TRINITY_DN7584_c0_g1_i4,HSP7C_PETHY,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat,|0051787|0044183|0005524|0031072|0051082|0016887,|misfolded protein binding|protein folding chaperone|ATP binding|heat shock protein binding|unfolded protein binding|ATPase activity,|0005788|0005618|0005886,|endoplasmic reticulum lumen|cell wall|plasma membrane,371.6785,323.0515,250.359,1.8775
TRINITY_DN7604_c0_g1_i3,ZDHC1_ARATH,PF01529.21,DHHC palmitoyltransferase   ,|0018215|0018231|0018345|0006612,|protein phosphopantetheinylation|peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine|protein palmitoylation|protein targeting to membrane,|0019706,|protein-cysteine S-palmitoyltransferase activity,|0005794|0005783|0016021|0030659|0005886,|Golgi apparatus|endoplasmic reticulum|integral component of membrane|cytoplasmic vesicle membrane|plasma membrane,11121.306,6585.404,0,2684.947
TRINITY_DN7719_c0_g1_i1,HSP21_SOYBN,PF00675.21,Insulinase (Peptidase family M16) ,|0006627|0006002|0061615|0006281|0042542|0009651|0009408|0051259|0006457|0071456,|protein processing involved in protein targeting to mitochondrion|fructose 6-phosphate metabolic process|glycolytic process through fructose-6-phosphate|DNA repair|response to hydrogen peroxide|response to salt stress|response to heat|protein complex oligomerization|protein folding|cellular response to hypoxia,|0046872|0003872|0008094|0005524|0016747|0003684|0004386|0003723|0043621|0051082,|metal ion binding|6-phosphofructokinase activity|DNA-dependent ATPase activity|ATP binding|transferase activity transferring acyl groups other than amino-acyl groups|damaged DNA binding|helicase activity|RNA binding|protein self-association|unfolded protein binding,|0005743|0005737,|mitochondrial inner membrane|cytoplasm,226.363,119,18.5,0
TRINITY_DN8123_c0_g1_i1,MURG_FLAPJ,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0030259|0008360|0071555|0009252|0007049|0051301|0005975|0009063,|lipid glycosylation|regulation of cell shape|cell wall organization|peptidoglycan biosynthetic process|cell cycle|cell division|carbohydrate metabolic process|cellular amino acid catabolic process,|0050511|0051991,|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity|UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-26-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity,|0005886|0016021,|plasma membrane|integral component of membrane,89.4885,100.427,1.3915,0
TRINITY_DN820_c0_g1_i5,SBT3_LOTJA,PF17766.2,Fibronectin type-III domain  ,.,.,.,.,.,.,0,62.0075,114.292,40.8445
TRINITY_DN8266_c0_g1_i1,ILP1_ARATH,PF01312.20,FlhB HrpN YscU SpaS Family,|0006355|0042023|0017148|0000398|1903507,|regulation of transcription DNA-templated|DNA endoreduplication|negative regulation of translation|mRNA splicing via spliceosome|negative regulation of nucleic acid-templated transcription,|0003677|0030371,|DNA binding|translation repressor activity,|0005634,|nucleus,41.5,42.5,104.0075,366.0005
TRINITY_DN8276_c2_g1_i2,LRKS2_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0002229|0009617|0007178|0071446|0071395|0009611|0018212,|protein phosphorylation|defense response to oomycetes|response to bacterium|transmembrane receptor protein serine/threonine kinase signaling pathway|cellular response to salicylic acid stimulus|cellular response to jasmonic acid stimulus|response to wounding|peptidyl-tyrosine modification,|0004674|0005524|0019199|0004713,|protein serine/threonine kinase activity|ATP binding|transmembrane receptor protein kinase activity|protein tyrosine kinase activity,|0005886,|plasma membrane,14.4395,0,154.4255,0
TRINITY_DN831_c0_g1_i45,VAB_ARATH,PF01027.21,Inhibitor of apoptosis-promoting Bax1 ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane,0,1113.0495,517.417,65.986
TRINITY_DN8320_c0_g1_i4,CADH6_ORYSJ,PF08240.13,Alcohol dehydrogenase GroES-like domain ,.,.,.,.,.,.,42.023,19.5,7.5,872.0595
TRINITY_DN8330_c0_g1_i1,C78A5_ARATH,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.,93.696,95.461,158.34,0
TRINITY_DN8547_c0_g1_i1,CDC22_ARATH,PF18265.2,Nas2 N_terminal domain  ,|1904668|0051301|1905786|0031145|0016567|0007049,|positive regulation of ubiquitin protein ligase activity|cell division|positive regulation of anaphase-promoting complex-dependent catabolic process|anaphase-promoting complex-dependent catabolic process|protein ubiquitination|cell cycle,|0097027|0010997|0019900,|ubiquitin-protein transferase activator activity|anaphase-promoting complex binding|kinase binding,|0005680|0030136|0080008|0005794,|anaphase-promoting complex|clathrin-coated vesicle|Cul4-RING E3 ubiquitin ligase complex|Golgi apparatus,1302.3865,1019.82,2237.0905,69.66
TRINITY_DN8722_c0_g1_i1,MSP1_ORYSJ,PF13855.7,Leucine rich repeat  ,|0046777,|protein autophosphorylation,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0005886|0016021,|plasma membrane|integral component of membrane,0,7.632,8.1495,170.9035
TRINITY_DN8917_c0_g1_i7,ACHE_MAIZE,PF00657.23,GDSL-like Lipase/Acylhydrolase   ,|0016042,|lipid catabolic process,|0016788|0004560,|hydrolase activity acting on ester bonds|alpha-L-fucosidase activity,|0009505|0009506|0005576|0016021,|plant-type cell wall|plasmodesma|extracellular region|integral component of membrane,1020.268,0,0,0
TRINITY_DN894_c0_g1_i18,HFA2C_ORYSJ,PF00447.18,HSF-type DNA-binding   ,|0006355|0034605,|regulation of transcription DNA-templated|cellular response to heat,|0043565|0003700|0001067|0003690|0042802,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding|identical protein binding,|0005634|0005737,|nucleus|cytoplasm,0,97.8675,0,0
TRINITY_DN8974_c0_g1_i14,TOP1_RICBR,PF01131.21,DNA topoisomerase   ,|0006265|0006422,|DNA topological change|aspartyl-tRNA aminoacylation,|0003917|0003677|0046872|0003729|0004815|0003918|0005524,|DNA topoisomerase type I (single strand cut ATP-independent) activity|DNA binding|metal ion binding|mRNA binding|aspartate-tRNA ligase activity|DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity|ATP binding,|0005694|0005737|0016021,|chromosome|cytoplasm|integral component of membrane,482.787,0,0,0
TRINITY_DN9036_c0_g1_i7,DESI1_XENLA,PF05903.15,PPPDE putative peptidase domain ,|0070646|0034434|0010150|0016127|0006888|0006886|0070646,|protein modification by small protein removal|sterol esterification|leaf senescence|sterol catabolic process|endoplasmic reticulum to Golgi vesicle-mediated transport|intracellular protein transport|protein modification by small protein removal,|0016787|0080095|0080096|0004607|0005515|0008270|0016787,|hydrolase activity|phosphatidylethanolamine-sterol O-acyltransferase activity|phosphatidate-sterol O-acyltransferase activity|phosphatidylcholine-sterol O-acyltransferase activity|protein binding|zinc ion binding|hydrolase activity,|0005634|0005737|0048475|0012506|0097708|0098588|0012505|0098796|0016021,|nucleus|cytoplasm|coated membrane|vesicle membrane|intracellular vesicle|bounding membrane of organelle|endomembrane system|membrane protein complex|integral component of membrane,243.117,209.413,169.138,0
TRINITY_DN9072_c0_g1_i5,XG113_ARATH,PF03407.17,Nucleotide-diphospho-sugar transferase   ,|0052325|0080147|0006486,|cell wall pectin biosynthetic process|root hair cell development|protein glycosylation,|0052636,|arabinosyltransferase activity,|0005794|0005768|0031984|0016021|0098588,|Golgi apparatus|endosome|organelle subcompartment|integral component of membrane|bounding membrane of organelle,300.563,600.098,0,887.1595
TRINITY_DN9117_c0_g1_i4,LAX3_MEDTR,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane,8.7645,17.249,162.1285,1355.5095
TRINITY_DN9131_c0_g1_i1,U85A2_ARATH,PF00201.19,UDP-glucoronosyl and UDP-glucosyl transferase ,.,.,|0008194,|UDP-glycosyltransferase activity,.,.,188.8635,0,0,0
TRINITY_DN913_c0_g1_i3,CDKC2_ORYSJ,PF06999.13,Sucrase/ferredoxin-like    ,|0006468|0032968|0051726|0015846|0006468|0032968|0051726|0048366|0009615,|protein phosphorylation|positive regulation of transcription elongation from RNA polymerase II promoter|regulation of cell cycle|polyamine transport|protein phosphorylation|positive regulation of transcription elongation from RNA polymerase II promoter|regulation of cell cycle|leaf development|response to virus,|0004672|0005524|0019808|0004672|0005524|0005515,|protein kinase activity|ATP binding|polyamine binding|protein kinase activity|ATP binding|protein binding,|0000307|0000785|0005634|0042597|0016021|0000307|0000785|0005634|0005829|0016021,|cyclin-dependent protein kinase holoenzyme complex|chromatin|nucleus|periplasmic space|integral component of membrane|cyclin-dependent protein kinase holoenzyme complex|chromatin|nucleus|cytosol|integral component of membrane,165.2315,149.6475,140.7265,0
TRINITY_DN918_c0_g1_i10,LHT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,.,.,.,.,.,.,758.9305,940.3195,218.073,0
TRINITY_DN9248_c0_g1_i19,PERK3_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468,|protein phosphorylation,|0016301|0016773|0140096|0005524,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding,|0016021,|integral component of membrane,206.7105,158.5625,182.1725,0
TRINITY_DN9248_c0_g1_i45,Y2296_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468,|protein phosphorylation,|0004672|0005524,|protein kinase activity|ATP binding,|0016021|0005886,|integral component of membrane|plasma membrane,0,29.4775,6,236
TRINITY_DN9287_c0_g1_i1,GH31_ARATH,PF03321.14,GH3 auxin-responsive promoter  ,|0009733|0010252,|response to auxin|auxin homeostasis,|0016881,|acid-amino acid ligase activity,|0005737,|cytoplasm,52,124.9545,677,1868.1845
TRINITY_DN9350_c0_g1_i1,FLZ1_ARATH,PF04570.15,zinc-finger of the FCS-type,|0006355,|regulation of transcription DNA-templated,|0008270,|zinc ion binding,|0016021,|integral component of membrane,197.268,175.983,382.7265,0
TRINITY_DN9435_c0_g1_i23,SUVR4_ARATH,PF10440.10,Ubiquitin-binding WIYLD domain  ,|0034968,|histone lysine methylation,|0018024|0008270,|histone-lysine N-methyltransferase activity|zinc ion binding,|0005634,|nucleus,120.8985,102.2655,0,167.881
TRINITY_DN9445_c0_g1_i2,ATB13_ARATH,PF00046.30,Homeodomain    ,|0006357|0045893|0048826|0080022|0009744,|regulation of transcription by RNA polymerase II|positive regulation of transcription DNA-templated|cotyledon morphogenesis|primary root development|response to sucrose,|0000981|0043565,|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding,|0005634,|nucleus,0,0,260.38,0
TRINITY_DN9445_c0_g1_i4,HOX21_ORYSJ,PF00046.30,Homeodomain    ,|0006357|0045893,|regulation of transcription by RNA polymerase II|positive regulation of transcription DNA-templated,|0000981|0043565,|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding,|0005634,|nucleus,112.4145,113.145,219.461,0
TRINITY_DN972_c1_g1_i4,FBL17_ARATH,PF12799.8,Leucine Rich repeats (2 copies),|0055047|0009555|0009793|0031146|0016310,|generative cell mitosis|pollen development|embryo development ending in seed dormancy|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|phosphorylation,|0016301|0005524,|kinase activity|ATP binding,|0001673|0019005|0009507,|male germ cell nucleus|SCF ubiquitin ligase complex|chloroplast,0,6538.1495,3707.7845,9209.6405
TRINITY_DN9733_c0_g1_i13,Y3136_ARATH,PF02668.17,Taurine catabolism dioxygenase TauD,.,.,.,.,.,.,103.9915,129.506,0,72.035
TRINITY_DN988_c0_g1_i3,FL3H2_ORYSJ,PF03171.21,2OG-Fe(II) oxygenase superfamily  ,.,.,.,.,.,.,512.3005,397.509,511.909,0
TRINITY_DN990_c0_g1_i3,Y1044_ARATH,PF03000.15,NPH3 family   ,|0016567,|protein ubiquitination,.,.,|0005634|0005886,|nucleus|plasma membrane,28.6375,28.1165,255.123,431.507
