,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN3738_c0_g1_i1,COS1_COCNU,PF00190.23,Cupin    ,.,.,|0045735,|nutrient reservoir activity,.,.
TRINITY_DN384_c0_g1_i13,HBP1C_WHEAT,PF14144.7,Seed dormancy control  ,|0006351|0006355|0006952,|transcription DNA-templated|regulation of transcription DNA-templated|defense response,|0043565|0003700|0005515,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein binding,|0005634,|nucleus
TRINITY_DN3875_c0_g1_i2,H32_TOBAC,PF00125.25,Core histone H2A/H2B/H3/H4  ,.,.,|0046982|0003677,|protein heterodimerization activity|DNA binding,|0000786|0005634,|nucleosome|nucleus
TRINITY_DN3877_c0_g1_i4,GLSN_MEDSA,PF00310.22,Glutamine amidotransferases class-II  ,.,.,.,.,.,.
TRINITY_DN3886_c0_g1_i2,HSF30_SOLPE,.,.,.,.,.,.,.,.
TRINITY_DN3944_c0_g1_i3,MA652_ARATH,PF03999.13,Microtubule associated protein (MAP65/ASE1 family),|0000226|0000226,|microtubule cytoskeleton organization|microtubule cytoskeleton organization,|0008017|0008017,|microtubule binding|microtubule binding,|0005874|0005874,|microtubule|microtubule
TRINITY_DN3944_c0_g1_i6,MA651_ARATH,PF03999.13,Microtubule associated protein (MAP65/ASE1 family),|0000226|0000911,|microtubule cytoskeleton organization|cytokinesis by cell plate formation,|0008017,|microtubule binding,|0005874|0005819|0005737,|microtubule|spindle|cytoplasm
TRINITY_DN39478_c0_g1_i1,C86B1_ARATH,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.
TRINITY_DN397_c0_g1_i13,TAF1_ORYSJ,PF00439.26,Bromodomain    ,|0051123,|RNA polymerase II preinitiation complex assembly,|0016251|0017025,|RNA polymerase II general transcription initiation factor activity|TBP-class protein binding,|0005634|0000428|0005667|0000785|0070013|0043233,|nucleus|DNA-directed RNA polymerase complex|transcription regulator complex|chromatin|intracellular organelle lumen|organelle lumen
TRINITY_DN397_c0_g1_i6,TAF1_ORYSJ,PF12157.9,Protein of unknown function (DUF3591),|0006413|0051123|0006325|0006468|0051123,|translational initiation|RNA polymerase II preinitiation complex assembly|chromatin organization|protein phosphorylation|RNA polymerase II preinitiation complex assembly,|0003743|0016251|0017025|0106311|0106310|0016251|0017025,|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity|TBP-class protein binding|protein threonine kinase activity|protein serine kinase activity|RNA polymerase II general transcription initiation factor activity|TBP-class protein binding,|0005634|0000428|0005667|0000785|0070013|0043233|0005634|0000428|0005667|0000785|0070013|0043233,|nucleus|DNA-directed RNA polymerase complex|transcription regulator complex|chromatin|intracellular organelle lumen|organelle lumen|nucleus|DNA-directed RNA polymerase complex|transcription regulator complex|chromatin|intracellular organelle lumen|organelle lumen
TRINITY_DN4035_c0_g1_i3,AKH1_MAIZE,PF00742.20,Homoserine dehydrogenase   ,|0016310|0009088|0009089,|phosphorylation|threonine biosynthetic process|lysine biosynthetic process via diaminopimelate,|0016301|0016774|0005524,|kinase activity|phosphotransferase activity carboxyl group as acceptor|ATP binding,.,.
TRINITY_DN4039_c0_g1_i1,H2B1_ARATH,PF00125.25,Core histone H2A/H2B/H3/H4  ,.,.,.,.,.,.
TRINITY_DN4065_c0_g1_i1,MET1_ARATH,PF17820.2,PDZ domain   ,.,.,|0005506,|iron ion binding,|0016021,|integral component of membrane
TRINITY_DN4104_c0_g1_i7,KANL3_DANRE,PF12146.9,Serine aminopeptidase,.,.,|0016787,|hydrolase activity,.,.
TRINITY_DN4150_c0_g1_i6,ACT_GOSHI,PF00022.20,Actin    ,|0006488,|dolichol-linked oligosaccharide biosynthetic process,|0005524|0106073,|ATP binding|dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-12-glucosyltransferase activity,|0005856|0005737|0016021,|cytoskeleton|cytoplasm|integral component of membrane
TRINITY_DN4151_c0_g1_i13,RMC1_MOUSE,PF07035.13,Colon cancer-associated protein Mic1-like ,|0010506,|regulation of autophagy,.,.,|0035658|0031902|0016021,|Mon1-Ccz1 complex|late endosome membrane|integral component of membrane
TRINITY_DN4156_c0_g1_i14,SMC4_ARATH,PF00531.23,Death domain   ,.,.,.,.,.,.
TRINITY_DN4185_c0_g1_i23,ARP1_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,.,.,|0003723,|RNA binding,|0005634,|nucleus
TRINITY_DN424_c0_g1_i14,LEU1B_SOLPN,PF08502.11,LeuA allosteric (dimerisation) domain ,.,.,.,.,.,.
TRINITY_DN4275_c0_g1_i1,EI2BE_RAT,PF02020.19,eIF4-gamma/eIF5/eIF2-epsilon    ,|0006413|0050790,|translational initiation|regulation of catalytic activity,|0031369|0005085|0003743|0016779,|translation initiation factor binding|guanyl-nucleotide exchange factor activity|translation initiation factor activity|nucleotidyltransferase activity,|0005851|0009536|0005829|0016021,|eukaryotic translation initiation factor 2B complex|plastid|cytosol|integral component of membrane
TRINITY_DN4288_c0_g1_i3,SAB_ARATH,PF10351.10,Golgi-body localisation protein domain ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN4293_c0_g1_i2,STAD_RICCO,PF03405.15,Fatty acid desaturase  ,.,.,.,.,.,.
TRINITY_DN4375_c0_g1_i4,DNJH_CUCSA,PF01556.19,DnaJ C terminal domain ,|0009408|0006457,|response to heat|protein folding,|0031072|0051082|0005524|0046872,|heat shock protein binding|unfolded protein binding|ATP binding|metal ion binding,|0005829|0005634|0005886,|cytosol|nucleus|plasma membrane
TRINITY_DN4375_c0_g2_i3,DNJH_CUCSA,PF00226.32,DnaJ domain   ,|0009408|0006457|1901259|0006355|0009408|0006457,|response to heat|protein folding|chloroplast rRNA processing|regulation of transcription DNA-templated|response to heat|protein folding,|0031072|0051082|0005524|0046872|0003723|0003700|0003677|0031072|0051082|0005524|0046872,|heat shock protein binding|unfolded protein binding|ATP binding|metal ion binding|RNA binding|DNA-binding transcription factor activity|DNA binding|heat shock protein binding|unfolded protein binding|ATP binding|metal ion binding,|0005829|0016020|0009535|0005634|0005829|0005634|0005886,|cytosol|membrane|chloroplast thylakoid membrane|nucleus|cytosol|nucleus|plasma membrane
TRINITY_DN4417_c0_g1_i1,PSAL_HORVU,PF02605.16,Photosystem I reaction centre subunit,|0015979|0016311|0006464,|photosynthesis|dephosphorylation|cellular protein modification process,|0016791|0140096,|phosphatase activity|catalytic activity acting on a protein,|0009538|0009535|0016021,|photosystem I reaction center|chloroplast thylakoid membrane|integral component of membrane
TRINITY_DN4418_c0_g1_i2,YHLA_SCHPO,PF12763.8,Cytoskeletal-regulatory complex EF hand ,|0016197|0006897|0006351|0016197|0006897,|endosomal transport|endocytosis|transcription DNA-templated|endosomal transport|endocytosis,|0005509|0005509,|calcium ion binding|calcium ion binding,|0005829|0005886|0005634,|cytosol|plasma membrane|nucleus
TRINITY_DN4473_c0_g1_i12,TBC17_MOUSE,PF00566.19,Rab-GTPase-TBC domain   ,|0090630|0006886|0090630|0006886,|activation of GTPase activity|intracellular protein transport|activation of GTPase activity|intracellular protein transport,|0031267|0005096|0031267|0005096,|small GTPase binding|GTPase activator activity|small GTPase binding|GTPase activator activity,|0016021|0005829|0016021|0005829,|integral component of membrane|cytosol|integral component of membrane|cytosol
TRINITY_DN4473_c0_g1_i4,TBC15_MOUSE,PF00566.19,Rab-GTPase-TBC domain   ,.,.,.,.,|0005829|0016021,|cytosol|integral component of membrane
TRINITY_DN4517_c0_g1_i10,CHL_ARATH,PF08212.13,Lipocalin-like domain   ,|0010117|1901562|0046322|0010431|0009644|0009414|0009737|0009408|0006979|0006629,|photoprotection|response to paraquat|negative regulation of fatty acid oxidation|seed maturation|response to high light intensity|response to water deprivation|response to abscisic acid|response to heat|response to oxidative stress|lipid metabolic process,|0036094|0045735,|small molecule binding|nutrient reservoir activity,|0031977|0009535|0005829,|thylakoid lumen|chloroplast thylakoid membrane|cytosol
TRINITY_DN4593_c0_g1_i1,SART3_HUMAN,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0006396|0016071,|RNA processing|mRNA metabolic process,|0003723,|RNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN4602_c0_g1_i3,GPI8_DROME,PF01650.19,Peptidase C13 family  ,|0016255|0006508|0034394,|attachment of GPI anchor to protein|proteolysis|protein localization to cell surface,|0003923|0016740,|GPI-anchor transamidase activity|transferase activity,|0042765,|GPI-anchor transamidase complex
TRINITY_DN4650_c0_g1_i10,PMTH_ARATH,PF03141.17,Putative S-adenosyl-L-methionine-dependent methyltransferase  ,|0032259,|methylation,|0008168,|methyltransferase activity,|0005802|0005768|0016021,|trans-Golgi network|endosome|integral component of membrane
TRINITY_DN4662_c0_g1_i1,GSTFD_ARATH,PF00043.26,Glutathione S-transferase,|0006749|0009636,|glutathione metabolic process|response to toxic substance,|0004364|0043295,|glutathione transferase activity|glutathione binding,|0005737,|cytoplasm
TRINITY_DN4728_c0_g1_i1,DRPE_CRAPL,PF13668.7,Ferritin-like domain   ,|0016567|0015074|0006412,|protein ubiquitination|DNA integration|translation,|0004842|0019843|0008270|0003735,|ubiquitin-protein transferase activity|rRNA binding|zinc ion binding|structural constituent of ribosome,|0016021|0005840,|integral component of membrane|ribosome
TRINITY_DN4802_c0_g1_i8,BOR4_ARATH,PF00955.22,HCO3- transporter family  ,|0015698|0050801|0055085,|inorganic anion transport|ion homeostasis|transmembrane transport,|0005452,|inorganic anion exchanger activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN481_c0_g1_i1,ALB4_ARATH,PF02096.21,60Kd inner membrane protein ,|0090150|0072598|0009657|0061024,|establishment of protein localization to membrane|protein localization to chloroplast|plastid organization|membrane organization,|0032977,|membrane insertase activity,|0009535|0016021,|chloroplast thylakoid membrane|integral component of membrane
TRINITY_DN4964_c0_g1_i4,NOC2L_ORYSJ,PF03715.14,Noc2p family   ,|0042273,|ribosomal large subunit biogenesis,.,.,|0005634|0030686|0030687|0070013|0043233|0043232|0005829|0016021,|nucleus|90S preribosome|preribosome large subunit precursor|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle|cytosol|integral component of membrane
TRINITY_DN5020_c0_g1_i1,XTHB_PHAAN,PF00722.22,Glycosyl hydrolases family 16 ,|0010411|0071555|0042546|0018215,|xyloglucan metabolic process|cell wall organization|cell wall biogenesis|protein phosphopantetheinylation,|0016762|0004553|0019706|0030246,|xyloglucan:xyloglucosyl transferase activity|hydrolase activity hydrolyzing O-glycosyl compounds|protein-cysteine S-palmitoyltransferase activity|carbohydrate binding,|0048046|0005618|0016021,|apoplast|cell wall|integral component of membrane
TRINITY_DN5025_c0_g1_i14,PLAT1_ARATH,PF01477.24,PLAT/LH2 domain   ,.,.,.,.,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN5027_c0_g1_i1,REHY_HORVU,PF00578.22,AhpC/TSA family   ,|0098869,|cellular oxidant detoxification,|0004601,|peroxidase activity,.,.
TRINITY_DN5027_c0_g1_i2,REHY_HORVU,PF00578.22,AhpC/TSA family   ,|0098869,|cellular oxidant detoxification,|0004601,|peroxidase activity,.,.
TRINITY_DN5027_c0_g1_i4,REHY_HORVU,PF00578.22,AhpC/TSA family   ,|0098869,|cellular oxidant detoxification,|0004601,|peroxidase activity,.,.
TRINITY_DN5029_c0_g1_i9,PBL28_ARATH,PF00571.29,CBS domain   ,|0042149|0045859|0016310|0036211|0044267|0016310|0006464|0006952,|cellular response to glucose starvation|regulation of protein kinase activity|phosphorylation|protein modification process|cellular protein metabolic process|phosphorylation|cellular protein modification process|defense response,|0004679|0016208|0019887|0019901|0016301|0016773|0140096|0005524|0000976,|AMP-activated protein kinase activity|AMP binding|protein kinase regulator activity|protein kinase binding|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding|transcription regulatory region sequence-specific DNA binding,|0031588|0005634|0005737|0005886,|nucleotide-activated protein kinase complex|nucleus|cytoplasm|plasma membrane
TRINITY_DN5190_c0_g1_i18,C3H55_ORYSJ,PF08236.12,SRI (Set2 Rpb1 interacting) domain,.,.,.,.,.,.
TRINITY_DN5228_c0_g1_i1,MAKR1_ARATH,PF07816.12,Protein of unknown function (DUF1645),|0033673|0016310|0009741|0043401|1901701|0006629,|negative regulation of kinase activity|phosphorylation|response to brassinosteroid|steroid hormone mediated signaling pathway|cellular response to oxygen-containing compound|lipid metabolic process,|0019210|0016301,|kinase inhibitor activity|kinase activity,|0005886|0005829|0009536,|plasma membrane|cytosol|plastid
TRINITY_DN522_c0_g1_i4,GOGC4_ARATH,PF10375.10,GRAB domain   ,.,.,.,.,.,.
TRINITY_DN5286_c0_g1_i10,PPA17_ARATH,PF00149.29,Calcineurin-like phosphoesterase   ,|0016311|0016311,|dephosphorylation|dephosphorylation,|0003993|0046872|0016787|0008198|0008199,|acid phosphatase activity|metal ion binding|hydrolase activity|ferrous iron binding|ferric iron binding,|0016021,|integral component of membrane
TRINITY_DN5486_c0_g1_i15,AB31G_ORYSJ,PF01061.25,ABC-2 type transporter  ,|0055085|0008643|0055085|0055085,|transmembrane transport|carbohydrate transport|transmembrane transport|transmembrane transport,|0042626|0005524|0015407|0042626|0005524|0042626|0005524,|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled monosaccharide transmembrane transporter activity|ATPase-coupled transmembrane transporter activity|ATP binding|ATPase-coupled transmembrane transporter activity|ATP binding,|0016021|0016021|0016021,|integral component of membrane|integral component of membrane|integral component of membrane
TRINITY_DN5530_c0_g1_i6,EI2BA_DICDI,PF01008.18,Initiation factor 2 subunit family,|0006413|0006446|0050790,|translational initiation|regulation of translational initiation|regulation of catalytic activity,|0003743|0005085|0016853|0003677|0046872,|translation initiation factor activity|guanyl-nucleotide exchange factor activity|isomerase activity|DNA binding|metal ion binding,|0005851,|eukaryotic translation initiation factor 2B complex
TRINITY_DN5574_c0_g1_i19,IP5P3_ARATH,PF03372.24,Endonuclease/Exonuclease/phosphatase family   ,|0046856,|phosphatidylinositol dephosphorylation,|0034485|0004439|0052659|0052658|0004445,|phosphatidylinositol-345-trisphosphate 5-phosphatase activity|phosphatidylinositol-45-bisphosphate 5-phosphatase activity|inositol-1345-tetrakisphosphate 5-phosphatase activity|inositol-145-trisphosphate 5-phosphatase activity|inositol-polyphosphate 5-phosphatase activity,|0016021,|integral component of membrane
TRINITY_DN5577_c0_g1_i17,AMPD_ARATH,PF00962.23,Adenosine/AMP deaminase   ,|0032264|0046033|0009793|0009737,|IMP salvage|AMP metabolic process|embryo development ending in seed dormancy|response to abscisic acid,|0003876|0043424|0046872,|AMP deaminase activity|protein histidine kinase binding|metal ion binding,|0005829|0016021|0031306|0005634,|cytosol|integral component of membrane|intrinsic component of mitochondrial outer membrane|nucleus
TRINITY_DN55_c0_g1_i16,CUL1_ORYSJ,PF00888.23,Cullin family   ,|0006511|0016567,|ubiquitin-dependent protein catabolic process|protein ubiquitination,|0031625|0004842,|ubiquitin protein ligase binding|ubiquitin-protein transferase activity,|0031461,|cullin-RING ubiquitin ligase complex
TRINITY_DN5768_c0_g1_i1,RNL_ARATH,PF08302.12,Fungal tRNA ligase phosphodiesterase domain,|0006388|0010928|0030968|0042245|0009734|0090305|0006412|0016310,|tRNA splicing via endonucleolytic cleavage and ligation|regulation of auxin mediated signaling pathway|endoplasmic reticulum unfolded protein response|RNA repair|auxin-activated signaling pathway|nucleic acid phosphodiester bond hydrolysis|translation|phosphorylation,|0003972|0005524|0004519|0003729|0016301|0046872,|RNA ligase (ATP) activity|ATP binding|endonuclease activity|mRNA binding|kinase activity|metal ion binding,|0005844|0005634|0005737,|polysome|nucleus|cytoplasm
TRINITY_DN5792_c0_g1_i33,UVH3_ARATH,PF00752.18,XPG N-terminal domain  ,|0006289|0090305|0010213|0009408|0006289|0090305,|nucleotide-excision repair|nucleic acid phosphodiester bond hydrolysis|non-photoreactive DNA repair|response to heat|nucleotide-excision repair|nucleic acid phosphodiester bond hydrolysis,|0003697|0004519|0046872|0004536|0004527|0005515|0003697|0004518|0046872|0140097,|single-stranded DNA binding|endonuclease activity|metal ion binding|deoxyribonuclease activity|exonuclease activity|protein binding|single-stranded DNA binding|nuclease activity|metal ion binding|catalytic activity acting on DNA,|0005634|0005634,|nucleus|nucleus
TRINITY_DN584_c0_g1_i2,ARFG_ORYSJ,PF06507.14,Auxin response factor  ,|0009734|0006355|0010150|0043486|1903507|2000113,|auxin-activated signaling pathway|regulation of transcription DNA-templated|leaf senescence|histone exchange|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003677|0042802,|DNA binding|identical protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN5873_c0_g1_i11,FEI1_ARATH,PF00069.26,Protein kinase domain  ,|0030244|0006468|0018212,|cellulose biosynthetic process|protein phosphorylation|peptidyl-tyrosine modification,|0004672|0005524|0004888|0005515,|protein kinase activity|ATP binding|transmembrane signaling receptor activity|protein binding,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN5897_c0_g1_i4,SMC3_ARATH,PF02463.20,RecF/RecN/SMC N terminal domain ,|0051321|0051276|0051301|0098813,|meiotic cell cycle|chromosome organization|cell division|nuclear chromosome segregation,|0005524|0003682,|ATP binding|chromatin binding,|0005694|0005634|0009506|0005819|0070013|0043233|0005737,|chromosome|nucleus|plasmodesma|spindle|intracellular organelle lumen|organelle lumen|cytoplasm
TRINITY_DN5953_c0_g1_i3,LPAI_ARATH,PF01734.23,Patatin-like phospholipase   ,|0016042|0009695|0050832|0006631|0016042|0009695|0050832|0006631|0016042|0009695|0050832|0006631,|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process|lipid catabolic process|jasmonic acid biosynthetic process|defense response to fungus|fatty acid metabolic process,|0045735|0004620|0047372|0045735|0004620|0047372|0045735|0016787,|nutrient reservoir activity|phospholipase activity|acylglycerol lipase activity|nutrient reservoir activity|phospholipase activity|acylglycerol lipase activity|nutrient reservoir activity|hydrolase activity,|0005773|0009507|0016020|0005773|0009507|0016020|0005773|0009507|0016020,|vacuole|chloroplast|membrane|vacuole|chloroplast|membrane|vacuole|chloroplast|membrane
TRINITY_DN5983_c0_g1_i3,VAD1_ARATH,PF15272.7,Spindle pole body component BBP1,|0043069,|negative regulation of programmed cell death,.,.,|0016021,|integral component of membrane
TRINITY_DN6029_c0_g1_i8,G6PD_SOLTU,PF02781.17,Glucose-6-phosphate dehydrogenase,.,.,.,.,.,.
TRINITY_DN6034_c0_g1_i12,DLD_ARATH,PF02913.20,FAD linked oxidases,.,.,|0050660|0003824,|flavin adenine dinucleotide binding|catalytic activity,|0016021,|integral component of membrane
TRINITY_DN614_c0_g1_i4,GT121_ARATH,PF07722.14,Peptidase C26   ,|0006541,|glutamine metabolic process,|0016787,|hydrolase activity,.,.
TRINITY_DN6158_c1_g2_i2,AT4_ORYSJ,PF02458.16,Transferase family   ,|0009809,|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0016021,|integral component of membrane
TRINITY_DN6348_c0_g1_i3,YBEG_SCHPO,PF00400.33,WD domain,.,.,.,.,|0005634,|nucleus
TRINITY_DN6535_c0_g1_i22,IDHC_TOBAC,PF00180.21,Isocitrate/isopropylmalate dehydrogenase   ,.,.,.,.,.,.
TRINITY_DN6535_c0_g1_i5,IDHC_TOBAC,PF00180.21,Isocitrate/isopropylmalate dehydrogenase   ,.,.,.,.,.,.
TRINITY_DN6633_c0_g1_i1,VCL_CORAV,PF00190.23,Cupin    ,.,.,.,.,.,.
TRINITY_DN665_c0_g1_i10,FPP4_ARATH,PF05911.12,Filament-like plant protein,.,.,.,.,.,.
TRINITY_DN6849_c0_g1_i8,XTHA_PHAAN,PF00722.22,Glycosyl hydrolases family 16 ,|0010411|0071555|0042546|0018215|0022900,|xyloglucan metabolic process|cell wall organization|cell wall biogenesis|protein phosphopantetheinylation|electron transport chain,|0016762|0004553|0019706|0030246|0051536|0009055,|xyloglucan:xyloglucosyl transferase activity|hydrolase activity hydrolyzing O-glycosyl compounds|protein-cysteine S-palmitoyltransferase activity|carbohydrate binding|iron-sulfur cluster binding|electron transfer activity,|0048046|0005618|0016021,|apoplast|cell wall|integral component of membrane
TRINITY_DN6857_c0_g1_i8,RAC2_ORYSJ,PF00071.23,Ras family   ,|0007264|0030865|0007163|0032956|0007015|0008360,|small GTPase mediated signal transduction|cortical cytoskeleton organization|establishment or maintenance of cell polarity|regulation of actin cytoskeleton organization|actin filament organization|regulation of cell shape,|0003924|0005525|0019901,|GTPase activity|GTP binding|protein kinase binding,|0005938|0031410|0005856|0042995|0005634|0005886,|cell cortex|cytoplasmic vesicle|cytoskeleton|cell projection|nucleus|plasma membrane
TRINITY_DN6999_c0_g1_i1,NRPE1_ARATH,PF11523.9,Protein of unknown function (DUF3223),.,.,.,.,.,.
TRINITY_DN7047_c0_g1_i1,LSH6_ARATH,PF04852.13,Protein of unknown function (DUF640),|0009299|0009416,|mRNA transcription|response to light stimulus,|0000287,|magnesium ion binding,|0005634,|nucleus
TRINITY_DN7058_c0_g1_i4,SCP3_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,.,.
TRINITY_DN7058_c0_g1_i9,SCP3_ARATH,PF00450.23,Serine carboxypeptidase   ,|0006508,|proteolysis,|0004185,|serine-type carboxypeptidase activity,.,.
TRINITY_DN7084_c0_g1_i1,ERLL2_ARATH,PF14547.7,Hydrophobic seed protein  ,|0032774,|RNA biosynthetic process,|0008289|0003899,|lipid binding|DNA-directed 5'-3' RNA polymerase activity,|0016021,|integral component of membrane
TRINITY_DN710_c0_g1_i2,TAF15_ARATH,PF00641.19,Zn-finger in Ran binding protein,|0006413,|translational initiation,|0003743|0046872,|translation initiation factor activity|metal ion binding,|0005634,|nucleus
TRINITY_DN7172_c0_g1_i22,FK151_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408|0000413|0061077|0009620|0034976|0006412|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|response to endoplasmic reticulum stress|translation|carbohydrate metabolic process,|0003755|0080025|0032266|0003755|0003735|0004553,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0005634|0071944|0016021|0005783|0005840|0005773|0005794|0005829|0016021,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|Golgi apparatus|cytosol|integral component of membrane
TRINITY_DN7172_c0_g1_i6,FK152_ARATH,PF00254.29,FKBP-type peptidyl-prolyl cis-trans isomerase ,|0000413|0061077|0009845|0046686|0006970|0009611|0009408|0000413|0061077|0009620|0006412|0034976|0043086|0005975,|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|seed germination|response to cadmium ion|response to osmotic stress|response to wounding|response to heat|protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|response to fungus|translation|response to endoplasmic reticulum stress|negative regulation of catalytic activity|carbohydrate metabolic process,|0003755|0080025|0032266|0003755|0003735|0004857|0004553,|peptidyl-prolyl cis-trans isomerase activity|phosphatidylinositol-35-bisphosphate binding|phosphatidylinositol-3-phosphate binding|peptidyl-prolyl cis-trans isomerase activity|structural constituent of ribosome|enzyme inhibitor activity|hydrolase activity hydrolyzing O-glycosyl compounds,|0009579|0005737|0005634|0071944|0016021|0005783|0005840|0005773|0016021|0005794|0005829,|thylakoid|cytoplasm|nucleus|cell periphery|integral component of membrane|endoplasmic reticulum|ribosome|vacuole|integral component of membrane|Golgi apparatus|cytosol
TRINITY_DN7213_c0_g1_i2,ZHD6_ORYSI,PF04770.13,ZF-HD protein dimerisation region ,|0006355,|regulation of transcription DNA-templated,|0003677|0001067|0003700|0042803|0046872,|DNA binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity|protein homodimerization activity|metal ion binding,|0005634,|nucleus
TRINITY_DN7254_c1_g2_i4,CCA31_ARATH,PF00134.24,Cyclin,|0007049|0051301|0000079,|cell cycle|cell division|regulation of cyclin-dependent protein serine/threonine kinase activity,|0016538,|cyclin-dependent protein serine/threonine kinase regulator activity,|0000307|0005634|0005737,|cyclin-dependent protein kinase holoenzyme complex|nucleus|cytoplasm
TRINITY_DN7260_c0_g1_i3,MANA1_ARATH,PF01074.23,Glycosyl hydrolases family 38 N-terminal,|0006013|0015074,|mannose metabolic process|DNA integration,|0004559|0030246|0046872|0003676,|alpha-mannosidase activity|carbohydrate binding|metal ion binding|nucleic acid binding,|0005774|0048046|0005618|0016021,|vacuolar membrane|apoplast|cell wall|integral component of membrane
TRINITY_DN7307_c0_g1_i1,FLA9_ARATH,PF02469.23,Fasciclin domain   ,|0009834|0090378|0010262|0009833|2000008|0009735|0009739|0009651|0009737|0009733,|plant-type secondary cell wall biogenesis|seed trichome elongation|somatic embryogenesis|plant-type primary cell wall biogenesis|regulation of protein localization to cell surface|response to cytokinin|response to gibberellin|response to salt stress|response to abscisic acid|response to auxin,.,.,|0005886|0031225|0016021,|plasma membrane|anchored component of membrane|integral component of membrane
TRINITY_DN7316_c0_g1_i1,SAMC1_ARATH,PF00153.28,Mitochondrial carrier protein  ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN7361_c0_g1_i8,UVR8_ARATH,PF00415.19,Regulator of chromosome condensation (RCC1),.,.,|0008270|0016746,|zinc ion binding|transferase activity transferring acyl groups,|0016021,|integral component of membrane
TRINITY_DN7517_c0_g1_i3,CKX4_ORYSJ,PF01565.24,FAD binding domain  ,.,.,.,.,.,.
TRINITY_DN751_c0_g1_i12,FAO1_LOTJA,PF00732.20,GMC oxidoreductase   ,.,.,.,.,.,.
TRINITY_DN7536_c0_g1_i15,FGT1_ARATH,PF13872.7,P-loop containing NTP hydrolase pore-1,|0006355|0006355,|regulation of transcription DNA-templated|regulation of transcription DNA-templated,|0031490|0046872|0042393|0046872|0031490|0042393,|chromatin DNA binding|metal ion binding|histone binding|metal ion binding|chromatin DNA binding|histone binding,|0005634|0005634|0016021,|nucleus|nucleus|integral component of membrane
TRINITY_DN7565_c0_g1_i2,NAA15_ARATH,PF12569.9,NMDA receptor-regulated protein 1 ,|0017196,|N-terminal peptidyl-methionine acetylation,|0016740,|transferase activity,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN7580_c0_g1_i8,ARFV_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0048829|0007389|0051301|0048442|0031540|0048441|0048366|0009738|0010154|0009743|0048589,|auxin-activated signaling pathway|regulation of transcription DNA-templated|root cap development|pattern specification process|cell division|sepal development|regulation of anthocyanin biosynthetic process|petal development|leaf development|abscisic acid-activated signaling pathway|fruit development|response to carbohydrate|developmental growth,|0003677|0035198|0005515|0003700,|DNA binding|miRNA binding|protein binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
